"Step","zesty-sweep-5 - train_acc_step","zesty-sweep-5 - train_acc_step__MIN","zesty-sweep-5 - train_acc_step__MAX","wobbly-sweep-4 - train_acc_step","wobbly-sweep-4 - train_acc_step__MIN","wobbly-sweep-4 - train_acc_step__MAX","graceful-sweep-3 - train_acc_step","graceful-sweep-3 - train_acc_step__MIN","graceful-sweep-3 - train_acc_step__MAX","astral-sweep-2 - train_acc_step","astral-sweep-2 - train_acc_step__MIN","astral-sweep-2 - train_acc_step__MAX","gallant-sweep-1 - train_acc_step","gallant-sweep-1 - train_acc_step__MIN","gallant-sweep-1 - train_acc_step__MAX"
"87","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125","0.46875","0.46875","0.46875","0.09375","0.09375","0.09375","0.65625","0.65625","0.65625"
"90","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.6875","0.6875","0.6875"
"91","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875","0.375","0.375","0.375","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125"
"92","0","0","0","0.625","0.625","0.625","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875"
"93","0.125","0.125","0.125","0.625","0.625","0.625","0.28125","0.28125","0.28125","0.09375","0.09375","0.09375","0.6875","0.6875","0.6875"
"94","0.09375","0.09375","0.09375","0.75","0.75","0.75","0.3125","0.3125","0.3125","0.0625","0.0625","0.0625","0.71875","0.71875","0.71875"
"95","0","0","0","0.84375","0.84375","0.84375","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125"
"96","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.25","0.25","0.25","0.15625","0.15625","0.15625","0.59375","0.59375","0.59375"
"97","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.375","0.375","0.375","0.125","0.125","0.125","0.6875","0.6875","0.6875"
"98","0.03125","0.03125","0.03125","0.625","0.625","0.625","0.21875","0.21875","0.21875","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125"
"99","0.125","0.125","0.125","0.75","0.75","0.75","0.5","0.5","0.5","0.125","0.125","0.125","0.6875","0.6875","0.6875"
"100","0.125","0.125","0.125","0.625","0.625","0.625","0.34375","0.34375","0.34375","0.15625","0.15625","0.15625","0.84375","0.84375","0.84375"
"101","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875","0.375","0.375","0.375","0.125","0.125","0.125","0.75","0.75","0.75"
"102","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125","0.40625","0.40625","0.40625","0.125","0.125","0.125","0.75","0.75","0.75"
"103","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.3125","0.3125","0.3125","0.1875","0.1875","0.1875","0.90625","0.90625","0.90625"
"104","0.21875","0.21875","0.21875","0.625","0.625","0.625","0.34375","0.34375","0.34375","0.125","0.125","0.125","0.71875","0.71875","0.71875"
"105","0.09375","0.09375","0.09375","0.65625","0.65625","0.65625","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125"
"106","0.125","0.125","0.125","0.65625","0.65625","0.65625","0.21875","0.21875","0.21875","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875"
"107","0.09375","0.09375","0.09375","0.6875","0.6875","0.6875","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.5625","0.5625","0.5625"
"108","0.03125","0.03125","0.03125","0.71875","0.71875","0.71875","0.40625","0.40625","0.40625","0.09375","0.09375","0.09375","0.59375","0.59375","0.59375"
"109","0.1875","0.1875","0.1875","0.6875","0.6875","0.6875","0.375","0.375","0.375","0.125","0.125","0.125","0.75","0.75","0.75"
"110","0.15625","0.15625","0.15625","0.875","0.875","0.875","0.28125","0.28125","0.28125","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875"
"111","0.0625","0.0625","0.0625","0.84375","0.84375","0.84375","0.4375","0.4375","0.4375","0.15625","0.15625","0.15625","0.71875","0.71875","0.71875"
"112","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125","0.3125","0.3125","0.3125","0.09375","0.09375","0.09375","0.75","0.75","0.75"
"113","0.125","0.125","0.125","0.75","0.75","0.75","0.34375","0.34375","0.34375","0.0625","0.0625","0.0625","0.875","0.875","0.875"
"114","0.0625","0.0625","0.0625","0.65625","0.65625","0.65625","0.53125","0.53125","0.53125","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875"
"115","0.03125","0.03125","0.03125","0.875","0.875","0.875","0.40625","0.40625","0.40625","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875"
"116","0.1875","0.1875","0.1875","0.8125","0.8125","0.8125","0.28125","0.28125","0.28125","0.1875","0.1875","0.1875","0.53125","0.53125","0.53125"
"117","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.40625","0.40625","0.40625","0.125","0.125","0.125","0.6875","0.6875","0.6875"
"120","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.75","0.75","0.75"
"121","0.21875","0.21875","0.21875","0.75","0.75","0.75","0.40625","0.40625","0.40625","0.1875","0.1875","0.1875","0.71875","0.71875","0.71875"
"122","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625","0.375","0.375","0.375","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125"
"123","0.03125","0.03125","0.03125","0.90625","0.90625","0.90625","0.59375","0.59375","0.59375","0.09375","0.09375","0.09375","0.75","0.75","0.75"
"124","0","0","0","0.8125","0.8125","0.8125","0.4375","0.4375","0.4375","0","0","0","0.90625","0.90625","0.90625"
"125","0.09375","0.09375","0.09375","0.6875","0.6875","0.6875","0.3125","0.3125","0.3125","0.0625","0.0625","0.0625","0.75","0.75","0.75"
"126","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.5625","0.5625","0.5625","0.03125","0.03125","0.03125","0.875","0.875","0.875"
"127","0.21875","0.21875","0.21875","0.71875","0.71875","0.71875","0.5625","0.5625","0.5625","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875"
"128","0.1875","0.1875","0.1875","0.75","0.75","0.75","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.65625","0.65625","0.65625"
"129","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.40625","0.40625","0.40625","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"130","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.875","0.875","0.875"
"131","0.15625","0.15625","0.15625","0.75","0.75","0.75","0.46875","0.46875","0.46875","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875"
"132","0.15625","0.15625","0.15625","0.84375","0.84375","0.84375","0.5","0.5","0.5","0.125","0.125","0.125","0.78125","0.78125","0.78125"
"133","0.125","0.125","0.125","0.875","0.875","0.875","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.75","0.75","0.75"
"134","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125","0.3125","0.3125","0.3125","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125"
"135","0.125","0.125","0.125","0.8125","0.8125","0.8125","0.3125","0.3125","0.3125","0.15625","0.15625","0.15625","0.625","0.625","0.625"
"136","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125"
"137","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125","0.3125","0.3125","0.3125","0","0","0","0.625","0.625","0.625"
"138","0.0625","0.0625","0.0625","0.9375","0.9375","0.9375","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875"
"139","0","0","0","0.6875","0.6875","0.6875","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875"
"140","0.03125","0.03125","0.03125","0.71875","0.71875","0.71875","0.34375","0.34375","0.34375","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375"
"141","0.125","0.125","0.125","0.84375","0.84375","0.84375","0.53125","0.53125","0.53125","0.0625","0.0625","0.0625","0.84375","0.84375","0.84375"
"142","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.5","0.5","0.5","0.125","0.125","0.125","0.6875","0.6875","0.6875"
"143","0.125","0.125","0.125","0.8125","0.8125","0.8125","0.5","0.5","0.5","0.1875","0.1875","0.1875","0.71875","0.71875","0.71875"
"144","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875","0.5","0.5","0.5","0.125","0.125","0.125","0.875","0.875","0.875"
"145","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125"
"146","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125","0.28125","0.28125","0.28125","0.125","0.125","0.125","0.8125","0.8125","0.8125"
"147","0","0","0","0.875","0.875","0.875","0.375","0.375","0.375","0.03125","0.03125","0.03125","0.8125","0.8125","0.8125"
"150","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.75","0.75","0.75"
"151","0.125","0.125","0.125","0.84375","0.84375","0.84375","0.375","0.375","0.375","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875"
"152","0.03125","0.03125","0.03125","0.6875","0.6875","0.6875","0.375","0.375","0.375","0.1875","0.1875","0.1875","0.84375","0.84375","0.84375"
"153","0.0625","0.0625","0.0625","0.84375","0.84375","0.84375","0.28125","0.28125","0.28125","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125"
"154","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125","0.5625","0.5625","0.5625","0.125","0.125","0.125","0.6875","0.6875","0.6875"
"155","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.75","0.75","0.75"
"156","0.125","0.125","0.125","0.8125","0.8125","0.8125","0.5","0.5","0.5","0.0625","0.0625","0.0625","0.59375","0.59375","0.59375"
"157","0.09375","0.09375","0.09375","0.625","0.625","0.625","0.5","0.5","0.5","0.1875","0.1875","0.1875","0.875","0.875","0.875"
"158","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125","0.375","0.375","0.375","0.125","0.125","0.125","0.875","0.875","0.875"
"159","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.75","0.75","0.75"
"160","0.0625","0.0625","0.0625","0.84375","0.84375","0.84375","0.375","0.375","0.375","0.0625","0.0625","0.0625","0.75","0.75","0.75"
"161","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"162","0.125","0.125","0.125","0.75","0.75","0.75","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125"
"163","0.15625","0.15625","0.15625","0.84375","0.84375","0.84375","0.59375","0.59375","0.59375","0.09375","0.09375","0.09375","0.75","0.75","0.75"
"164","0.03125","0.03125","0.03125","0.75","0.75","0.75","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125"
"165","0","0","0","0.8125","0.8125","0.8125","0.5","0.5","0.5","0.0625","0.0625","0.0625","0.84375","0.84375","0.84375"
"166","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.6875","0.6875","0.6875"
"167","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.71875","0.71875","0.71875"
"168","0.15625","0.15625","0.15625","0.84375","0.84375","0.84375","0.46875","0.46875","0.46875","0.125","0.125","0.125","0.8125","0.8125","0.8125"
"169","0.15625","0.15625","0.15625","0.75","0.75","0.75","0.5","0.5","0.5","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375"
"170","0.09375","0.09375","0.09375","0.75","0.75","0.75","0.40625","0.40625","0.40625","0.15625","0.15625","0.15625","0.875","0.875","0.875"
"171","0.0625","0.0625","0.0625","0.75","0.75","0.75","0.34375","0.34375","0.34375","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125"
"172","0.03125","0.03125","0.03125","0.875","0.875","0.875","0.65625","0.65625","0.65625","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125"
"173","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.59375","0.59375","0.59375","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125"
"174","0.09375","0.09375","0.09375","0.75","0.75","0.75","0.5625","0.5625","0.5625","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375"
